sedol,citicode,full_description,ismininv_monthly,reg_saver,closed_fund,fund_name,aims,description,company_id,company_name,sector_id,sector_name,unit_type,full_description_with_unit_type,initial_charge,annual_charge,vantage_charge,net_annual_charge,initial_saving,annual_saving,holding_fee,loaded,linksedol_code,restrict_ot,payment_frequency,payment_type,Wealth150,trustee,assumed_growth,assumed_growth2,valuation_point,comment,tracker,yieldreduct,yieldreduct2,launch_price,launch_currency,num_holdings,icvc,sicav,plusfund,standard_amc,standard_ocf,total_expenses,charge_source,valuation_frequency,val_info,lsmininv,yield,kiid,kiid_url,running_yield,historic_yield,distribution_yield,underlying_yield,gross_yield,gross_running_yield,loyalty_bonus,reg_saver_min_inv,lump_sum_min_inv,renewal_commission,initial_commission,fund_size,risk_rating,other_expenses,cost_segment,update_time,ref_date,perf3m,perf6m,perf12m,perf36m,perf60m,perf120m,perf0t12m,perf12t24m,perf24t36m,perf36t48m,perf48t60m,perf3m_reinv,perf6m_reinv,perf12m_reinv,perf36m_reinv,perf60m_reinv,perf120m_reinv,perf0t12m_reinv,perf12t24m_reinv,perf24t36m_reinv,perf36t48m_reinv,perf48t60m_reinv,ter,is_unit_trust,is_oeic,isaable,sippable,unwrapable,launchdate,sales_only,bid_price,offer_price,price_change,percent_change,updated,investment_pathway
3395770,QI87,7IM Adventurous Fund (Class C),25.00,1,0,Seven Investment Management Adventurous Fund (Class C),This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,Adventurous Fund (Class C),1174,Seven Investment Management,115,Flexible Investment,Income,7IM Adventurous Fund (Class C) (Inc),0.00,1.44000,0.0000,1.44000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,23,0,0,N,0.0000,1.44000,1.44,N/a,Daily,,100.00,0.70,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=53f3f8bc-6242-40f5-bbe3-377fc917c9c2&user=hl_website_documents,0.00,0.70,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,139.6,,0.540,5,2024-10-26 06:02:52,0000-00-00,1.7600,3.5100,14.9800,5.1800,28.4000,,14.9800,0.4000,-8.8800,19.0200,2.5700,,,,,,,,,,,,1.44,0,1,1,1,1,2003-12-12 00:00:00,,310.76,310.76,0.05,0.02,2024-10-25,N
3395800,QI86,7IM Adventurous Fund (Class C),25.00,1,0,Seven Investment Management Adventurous Fund (Class C),This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,Adventurous Fund (Class C),1174,Seven Investment Management,115,Flexible Investment,Accumulation,7IM Adventurous Fund (Class C) (Acc),0.00,1.44000,0.0000,1.44000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,23,0,0,N,0.0000,1.44000,1.44,N/a,Daily,,100.00,0.70,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=c4d5df77-646e-4e04-98e4-bd0cf2a35cb0&user=hl_website_documents,0.00,0.70,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,139.6,,0.540,5,2024-10-26 06:02:52,0000-00-00,1.7900,3.5000,14.9800,5.1800,28.4000,,14.9800,0.3900,-8.8800,19.0200,2.5700,,,,,,,,,,,,1.44,0,1,1,1,1,2003-12-12 00:00:00,,339.78999999999996,339.78999999999996,0.05,0.01,2024-10-25,N
3395929,QI98,7IM Balanced Fund (Class C),25.00,1,0,Seven Investment Management Balanced Fund (Class C),This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,Balanced Fund (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Income,7IM Balanced Fund (Class C) (Inc),0.00,1.28000,0.0000,1.28000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,37,0,0,N,0.0000,1.28000,1.28,N/a,Daily,,100.00,1.80,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=80e827a0-c9ec-41c7-96f1-14b063330af9&user=hl_website_documents,0.00,1.80,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,510.2,,0.380,5,2024-10-26 06:02:52,0000-00-00,1.6200,3.6000,13.3500,3.1900,19.8200,,13.3500,1.6100,-10.4100,12.0100,3.6600,,,,,,,,,,,,1.28,0,1,1,1,1,2003-12-12 00:00:00,,205.19,205.19,0.11,0.05,2024-10-25,N
3395974,QI97,7IM Balanced Fund (Class C),25.00,1,0,Seven Investment Management Balanced Fund (Class C),This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,Balanced Fund (Class C),1174,Seven Investment Management,131,Mixed Investment 20-60% Shares,Accumulation,7IM Balanced Fund (Class C) (Acc),0.00,1.28000,0.0000,1.28000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,37,0,0,N,0.0000,1.28000,1.28,N/a,Daily,,100.00,1.80,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=331e644e-86bb-4c01-af39-6ac2384e8f43&user=hl_website_documents,0.00,1.80,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,510.2,,0.380,5,2024-10-26 06:02:52,0000-00-00,1.6300,3.6100,13.3500,3.1800,19.8100,,13.3500,1.6200,-10.4200,12.0100,3.6600,,,,,,,,,,,,1.28,0,1,1,1,1,2003-12-12 00:00:00,,270.99,270.99,0.14,0.05,2024-10-25,N
3395639,QI92,7IM Moderately Adventurous (Class C),25.00,1,0,Seven Investment Management Moderately Adventurous Fund (Class C),This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,Moderately Adventurous Fund (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Income,7IM Moderately Adventurous (Class C) (Inc),0.00,1.35000,0.0000,1.35000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,30,0,0,N,0.0000,1.35000,1.35,N/a,Daily,,100.00,1.20,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=dbd0c2ef-9f9b-42a6-8584-36b2bde77a83&user=hl_website_documents,0.00,1.20,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,360.5,,0.450,5,2024-10-26 06:02:52,0000-00-00,1.5600,3.2200,13.8500,5.5800,26.3200,,13.8500,2.1000,-9.1700,16.6500,2.5700,,,,,,,,,,,,1.35,0,1,1,1,1,2003-12-12 00:00:00,,286.35,286.35,0.10,0.04,2024-10-25,N
3395651,QI91,7IM Moderately Adventurous (Class C),25.00,1,0,Seven Investment Management Moderately Adventurous Fund (Class C),This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,Moderately Adventurous Fund (Class C),1174,Seven Investment Management,107,Mixed Investment 40-85% Shares,Accumulation,7IM Moderately Adventurous (Class C) (Acc),0.00,1.35000,0.0000,1.35000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,30,0,0,N,0.0000,1.35000,1.35,N/a,Daily,,100.00,1.20,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=70fd62d9-7e4e-49cb-8343-c2dca32f1da1&user=hl_website_documents,0.00,1.20,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,360.5,,0.450,5,2024-10-26 06:02:52,0000-00-00,1.5700,3.2200,13.8600,5.5800,26.3200,,13.8600,2.1000,-9.1800,16.6500,2.5700,,,,,,,,,,,,1.35,0,1,1,1,1,2003-12-12 00:00:00,,332.43,332.43,0.12,0.04,2024-10-25,N
3395327,RK23,7IM Moderately Cautious (Class C),25.00,1,0,Seven Investment Management Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Income,7IM Moderately Cautious (Class C) (Inc),0.00,1.33000,0.0000,1.33000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,37,0,0,N,0.0000,1.33000,1.33,N/a,Daily,,100.00,2.30,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=7a12aabb-95d8-4659-b8fa-cf26b8b366ba&user=hl_website_documents,0.00,2.30,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,3.000,135.8,,0.430,5,2024-10-26 06:02:59,0000-00-00,1.6600,3.6700,12.0100,-1.7900,8.0700,,12.0100,0.8800,-13.0900,6.8000,3.0300,,,,,,,,,,,,1.33,0,1,1,1,1,2003-12-12 00:00:00,,143.4,143.4,0.12,0.08,2024-10-25,N
3395349,RK22,7IM Moderately Cautious (Class C),25.00,1,0,Seven Investment Management Moderately Cautious (Class C),"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",Moderately Cautious (Class C),1174,Seven Investment Management,137,Mixed Investment 0-35% Shares,Accumulation,7IM Moderately Cautious (Class C) (Acc),0.00,1.33000,0.0000,1.33000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,7.00,6.00,11:00,,0,0.00,0.00,1.00,GBP,37,0,0,N,0.0000,1.33000,1.33,N/a,Daily,,100.00,2.30,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=86a383e8-c3f0-4906-a883-86f05742d780&user=hl_website_documents,0.00,2.30,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,3.000,135.8,,0.430,5,2024-10-26 06:02:59,0000-00-00,1.6700,3.6700,12.0100,-1.7800,8.0700,,12.0100,0.8900,-13.0900,6.8000,3.0300,,,,,,,,,,,,1.33,0,1,1,1,1,2003-12-12 00:00:00,,210.79,210.79,0.18,0.09,2024-10-25,N
BMDPBQ8,R2FS,7IM Pathbuilder 1 (Class C),25.00,1,0,Seven Investment Management Pathbuilder 1 (Class C),"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",Pathbuilder 1 (Class C),1174,Seven Investment Management,157,Volatility Managed,Accumulation,7IM Pathbuilder 1 (Class C) (Acc),0.00,0.35000,0.0000,0.35000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,15,0,0,,0.0000,0.35000,0.35,N/a,Daily,,100.00,2.30,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=be475bf8-d73a-4ca5-b0cc-504d8a538fd9&user=hl_website_documents,0.00,2.30,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,16.6,,0.130,1,2024-10-26 06:02:57,0000-00-00,2.1900,4.6400,13.8900,1.7100,,,13.8900,4.7100,-14.7200,,,,,,,,,,,,,,0.35,0,1,1,1,1,2020-12-09 00:00:00,N,104.84,104.84,0.09,0.09,2024-10-25,N
BMDPC09,R2FT,7IM Pathbuilder 1 (Class C),25.00,1,0,Seven Investment Management Pathbuilder 1 (Class C),"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",Pathbuilder 1 (Class C),1174,Seven Investment Management,157,Volatility Managed,Income,7IM Pathbuilder 1 (Class C) (Inc),0.00,0.35000,0.0000,0.35000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,15,0,0,,0.0000,0.35000,0.35,N/a,Daily,,100.00,2.30,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=7bc31dff-d2b5-4f44-b2f8-0291c90f8b4c&user=hl_website_documents,0.00,2.30,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,16.6,,0.130,1,2024-10-26 06:02:57,0000-00-00,2.1700,4.6300,13.8800,1.7000,,,13.8800,4.7100,-14.7200,,,,,,,,,,,,,,0.35,0,1,1,1,1,2020-12-09 00:00:00,N,98.3,98.3,0.08,0.08,2024-10-25,N
BMDPC32,R2FW,7IM Pathbuilder 2 (Class C),25.00,1,0,Seven Investment Management Pathbuilder 2 (Class C),"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",Pathbuilder 2 (Class C),1174,Seven Investment Management,157,Volatility Managed,Accumulation,7IM Pathbuilder 2 (Class C) (Acc),0.00,0.36000,0.0000,0.36000,0.00,0.00000,0.000000,0,,0,Bi-annually,Dividend,0,104,0.00,0.00,12:00,,0,0.00,0.00,1.00,GBP,15,0,0,,0.0000,0.36000,0.36,N/a,Daily,,100.00,2.60,1,https://www.fundslibrary.co.uk/FundsLibrary.DataRetrieval//Documents.aspx?type=point_of_sale&id=a9e4dbb3-e3c4-4a8e-8b5d-8488df0c0f3b&user=hl_website_documents,0.00,2.60,0.00,0.00,0.00,0.00,0.000,25.00,100.00,0.000,0.000,83.2,,0.140,2,2024-10-26 06:02:57,0000-00-00,2.5500,5.0500,16.5200,8.6300,,,16.5200,6.0400,-12.0800,,,,,,,,,,,,,,0.36,0,1,1,1,1,2020-12-09 00:00:00,N,115.75999999999999,115.75999999999999,0.02,0.02,2024-10-25,N
